"","longitude","latitude","time"
"1",-71.3926003464036,-32.9488727766689,46.73
"2",-70.7428498318511,-34.1227906058555,15.59
"3",-70.8356471428114,-33.5012809308912,46.46
"4",-70.2895226536451,-27.4131406308523,28.57
"5",-70.8356471428114,-33.5012809308912,15.13
"6",-70.7428498318511,-34.1227906058555,45.83
"7",-70.8356471428114,-33.5012809308912,9.58
"8",-70.557083480511,-33.7740319577135,47.91
"9",-70.3720943239058,-33.4236087860196,43.09
"10",-70.5630850101441,-23.5801297536739,40.82
"11",-72.9075586512433,-36.6897173313079,54.14
"12",-73.6020128183674,-37.8834389305375,44.52
"13",-70.4653059238515,-32.7963969418398,42.9
"14",-73.3341346502433,-36.7751740034645,4.34
"15",-71.873819736092,-36.1790352986676,25.67
"16",-64.2035426299394,-31.5718898259332,57.44
"17",-58.1632567479323,-34.7899488290916,28.09
"18",-57.5293576368031,-25.2844122546779,8.32
"19",-57.5293576368031,-25.2844122546779,8.32
"20",-61.3257242055382,-37.5762126432888,8.29
"21",-68.1646429002657,-39.0901633016579,10.85
"22",-61.8665361501043,-32.2929618677672,54.19
"23",-60.6480642266254,-26.8134252390048,23.64
"24",-68.3585791658954,-32.7442486442562,29.15
"25",-64.8823129128333,-24.3421674224568,6.76
"26",-65.1746683999366,-26.8144370647934,3.79
"27",-68.011618952205,-54.7732809980584,36.3
"28",-68.011618952205,-54.7732809980584,36.3
"29",-62.289701533168,-34.8648229410139,19.25
"30",-68.1646429002657,-39.0901633016579,23.99
"31",-68.9929807066135,-33.1814730304838,19.38
"32",-58.5897287817365,-34.7989350519512,39.83
"33",-68.8128829906146,-32.8282470363202,7.43
"34",-60.4040402522396,-33.1639998663881,2.12
"35",-58.5897287817365,-34.7989350519512,50.8
"36",-57.5293576368031,-25.2844122546779,2.26
"37",-57.5293576368031,-25.2844122546779,2.26
"38",-58.5897287817365,-34.7989350519512,8.09
"39",-58.5897287817365,-34.7989350519512,41.86
"40",-64.0393941848117,-31.213834816159,16.94
"41",-58.4331118134948,-34.5055454844014,27.22
"42",-69.1738600353006,-33.5331295760453,19.5
"43",-54.6032473991794,-27.111583483396,40.24
"44",-66.7852093350523,-29.4973710818128,46.38
"45",-59.3663790168637,-34.1037395928411,53.82
"46",-58.1632567479323,-34.7899488290916,13.91
"47",-65.1746683999366,-26.8144370647934,39.19
"48",-57.1778437752171,-29.7567165590583,42.47
"49",-57.1778437752171,-29.7567165590583,42.47
"50",-58.1632567479323,-34.7899488290916,9.76
"51",-58.5897287817365,-34.7989350519512,22.98
"52",-66.0648057976636,-25.27036403244,35.18
"53",-70.5340314565121,-41.1236362937544,42.57
"54",-58.4331118134948,-34.5055454844014,19.24
"55",-54.719886359649,-26.462722089706,34.35
"56",-54.719886359649,-26.462722089706,34.35
"57",-57.4906037891072,-38.065025234659,49.22
"58",-60.9025405151778,-26.5413518031751,28.21
"59",-58.1632567479323,-34.7899488290916,44.16
"60",-65.5728434572035,-28.5858065665154,36.67
"61",-59.4422717911006,-51.5648257935447,11.76
"62",-58.2527075473239,-51.8243202095728,58.21
"63",176.778775088295,-39.584380581681,16.93
"64",172.678424497412,-43.3643421383049,0.9
"65",171.141611050608,-42.3902073667988,19.78
"66",174.791747902632,-36.8411335052442,23.02
"67",145.218392452825,-38.0381327200431,5.48
"68",145.032914112236,-37.6209298203816,4.02
"69",152.918746458868,-27.3205695866508,49.68
"70",153.12211870952,-27.7222969141897,59.98
"71",145.218392452825,-38.0381327200431,21.6
"72",138.262762794817,-35.2020463569245,39.73
"73",151.285815020772,-33.7410805436959,53.79
"74",153.327352323694,-28.124422727871,18.75
"75",145.767054543757,-38.1200618253251,41.3
"76",152.918746458868,-27.3205695866508,36.91
"77",152.918746458868,-27.3205695866508,49.64
"78",151.397535411223,-32.9740189528626,28.92
"79",150.182559923658,-35.5718255635085,14.03
"80",147.026430065494,-42.9234776048874,48.59
"81",144.671951596136,-37.9538126342978,10.01
"82",118.530799241382,-20.527526101795,33.49
"83",151.285815020772,-33.7410805436959,35.63
"84",152.624117003933,-27.6766476205732,33.88
"85",144.308446934758,-38.284913886147,58.86
"86",144.856054031371,-38.371140769711,39.4
"87",117.769611984833,-33.397534187479,5.47
"88",18.541048925289,-34.2218775328928,56.76
"89",18.4942279950703,-33.8359547291738,4.84
"90",30.9834460668502,-23.4527011174059,38.68
"91",28.3984454302685,-25.7355668266891,15.08
"92",30.7754008083696,-22.1653854273321,42.03
"93",30.7754008083696,-22.1653854273321,42.03
"94",29.7332365706537,-31.2384548576388,33.03
"95",23.917267244679,-26.8313008323839,41.79
"96",29.2739233485884,-23.2429082333344,37.23
"97",18.4942279950703,-33.8359547291738,4.6
"98",28.080547377721,-26.4152681463511,34.27
"99",27.4402188197111,-24.9849110206256,20.21
"100",28.080547377721,-26.4152681463511,22.24
