"","longitude","latitude","time"
"1",-70.8356471428114,-33.5012809308912,54.78
"2",-70.3025652515466,-18.4248992024899,35.41
"3",-70.3025652515466,-18.4248992024899,35.41
"4",-72.55019477823,-38.7276658148794,38.56
"5",-72.2222961465117,-37.2469350468727,35.74
"6",-70.6500901821536,-33.1496564995985,28.48
"7",-72.4385672586072,-35.6481447350475,34.59
"8",-71.2090828776961,-34.199520031279,12.9
"9",-72.0524675502249,-36.5188515770617,52.49
"10",-70.557083480511,-33.7740319577135,10.54
"11",-70.7428498318511,-34.1227906058555,11.2
"12",-71.3926003464036,-32.9488727766689,52.35
"13",-71.4937058880098,-35.5006895736811,39.12
"14",-70.6500901821536,-33.1496564995985,45.11
"15",-72.6483158746305,-37.3364384929273,13.63
"16",-70.8356471428114,-33.5012809308912,52.23
"17",-73.2599308863635,-39.9505786284542,20.39
"18",-70.5630850101441,-23.5801297536739,36.96
"19",-70.3720943239058,-33.4236087860196,35.93
"20",-70.8356471428114,-33.5012809308912,54.12
"21",-70.8356471428114,-33.5012809308912,5.41
"22",-64.1002363329099,-25.2217954333103,8.48
"23",-60.6644472576921,-32.9235709786408,4.85
"24",-55.6329897793349,-27.4877998477798,27.31
"25",-55.6329897793349,-27.4877998477798,27.31
"26",-58.1632567479323,-34.7899488290916,16.09
"27",-58.8500636563726,-34.5605157306915,6.06
"28",-61.3984475957461,-31.2297113555528,38.66
"29",-59.0494412960608,-27.6016472324652,43.69
"30",-58.4331118134948,-34.5055454844014,10.52
"31",-60.8780613525774,-31.7309599391052,40.67
"32",-58.4331118134948,-34.5055454844014,41.08
"33",-68.9929807066135,-33.1814730304838,4.45
"34",-67.000479852053,-39.1250286881037,44.78
"35",-61.1179788905742,-36.3586288047417,40.88
"36",-58.5897287817365,-34.7989350519512,49.72
"37",-58.3687518870423,-35.9134326127884,16.04
"38",-57.9223239259593,-38.0711594293326,0.37
"39",-58.4331118134948,-34.5055454844014,46.61
"40",-58.8500636563726,-34.5605157306915,7.99
"41",-65.5686358471405,-24.1278261670226,19.97
"42",-68.1646429002657,-39.0901633016579,1.39
"43",-58.0667874261956,-33.0728086992849,55.01
"44",-58.0667874261956,-33.0728086992849,55.01
"45",-54.6767573509575,-25.4659944508437,6.98
"46",-54.6767573509575,-25.4659944508437,6.98
"47",-54.6767573509575,-25.4659944508437,6.98
"48",-65.1746683999366,-26.8144370647934,48.72
"49",-58.1632567479323,-34.7899488290916,51.63
"50",-58.6996616134018,-34.2328260203019,4.18
"51",-60.7576991399105,-34.7779417678581,29.31
"52",-66.783056204415,-54.3784694020325,22.24
"53",-58.4331118134948,-34.5055454844014,4.01
"54",-56.0656923151052,-27.5068536620266,31.98
"55",-56.0656923151052,-27.5068536620266,31.98
"56",-58.4331118134948,-34.5055454844014,57.49
"57",-58.4331118134948,-34.5055454844014,3.46
"58",-61.341684801165,-32.7868596745251,33.52
"59",-65.4047170451583,-23.745424814277,38.55
"60",-60.9006058920462,-37.4654823155239,5.9
"61",-60.6644472576921,-32.9235709786408,19.76
"62",-65.6043402956736,-26.9014990844371,51.28
"63",-60.3228781306959,-37.0234444147635,23.9
"64",-60.1440201481274,-33.4022252271121,2.02
"65",-61.3984475957461,-31.2297113555528,53.64
"66",-58.1632567479323,-34.7899488290916,55.96
"67",-63.9808460098523,-23.112470487238,26.11
"68",-58.5897287817365,-34.7989350519512,28.62
"69",-57.8923936531331,-35.0728607266351,58.16
"70",-59.9707716763716,-35.4644191550322,50.28
"71",-57.5293576368031,-25.2844122546779,56.85
"72",-57.5293576368031,-25.2844122546779,56.85
"73",-58.1632567479323,-34.7899488290916,15.71
"74",-58.7624539343575,-32.7802367248561,41.53
"75",-60.9843058800565,-31.1259361285267,50.04
"76",-68.8128829906146,-32.8282470363202,10.07
"77",-58.8500636563726,-34.5605157306915,11.21
"78",-58.1632567479323,-34.7899488290916,29.74
"79",-56.0656923151052,-27.5068536620266,2.84
"80",-56.0656923151052,-27.5068536620266,2.84
"81",-71.3489402489393,-40.9602552787465,13.87
"82",-54.719886359649,-26.462722089706,6.65
"83",-54.719886359649,-26.462722089706,6.65
"84",-66.0245555615347,-22.4492590126395,35.26
"85",-65.4489069000023,-43.3168329896662,31.14
"86",-58.5897287817365,-34.7989350519512,23.31
"87",-58.4331118134948,-34.5055454844014,41.88
"88",-57.7369605022013,-51.5868146627845,5.94
"89",-58.2527075473239,-51.8243202095728,39.94
"90",174.791747902632,-36.8411335052442,10.49
"91",174.791747902632,-36.8411335052442,6.36
"92",176.223409657969,-37.8012140361363,34.06
"93",177.041110418676,-38.0731447551458,24.28
"94",174.791747902632,-36.8411335052442,12.8
"95",175.297821817463,-36.7892113103427,25.68
"96",174.791747902632,-36.8411335052442,22.59
"97",152.918746458868,-27.3205695866508,12.85
"98",145.032914112236,-37.6209298203816,14.94
"99",116.934726457764,-20.6846934355041,12.94
"100",147.357412662368,-41.4342297740163,49.87
"101",153.327352323694,-28.124422727871,19.35
"102",153.327352323694,-28.124422727871,3.29
"103",115.896545559669,-31.6931757444856,39.59
"104",150.754182450046,-33.6860151150976,48.89
"105",139.488654276528,-34.6810051315222,49.54
"106",152.506079458093,-24.6184163886325,43.2
"107",138.625193333602,-34.8905071779159,33.37
"108",145.023851616371,-36.4514149811078,19.98
"109",145.218392452825,-38.0381327200431,46.99
"110",147.293385991122,-19.9481818738734,20.29
"111",115.865993956061,-32.0290828649839,57.61
"112",151.285815020772,-33.7410805436959,27.02
"113",145.032914112236,-37.6209298203816,18.65
"114",147.026430065494,-42.9234776048874,10.44
"115",150.635705858995,-34.4523325204728,7.24
"116",121.320122098337,-30.8875731018257,42.2
"117",150.962067180121,-34.0971992508212,46.75
"118",144.671951596136,-37.9538126342978,52.4
"119",145.218392452825,-38.0381327200431,33.99
"120",147.193547573212,-42.1804246236058,39.49
